param1,param2,param3,param4,label
-1.6143,-0.0061,0.8391,-0.2121,0.2283
0.4812,0.6964,0.9919,1.3879,0.7734
0.6577,-1.5153,1.3635,-0.8249,0.8193
0.9523,-1.2032,-1.0103,-1.0186,0.8728
-1.3867,1.5367,0.3131,-0.6946,0.0217
0.0293,-1.0745,1.2338,0.6133,0.905
1.9638,-1.5907,-0.1009,1.2764,0.992
-1.8386,-0.8253,-1.5231,-1.2417,0.2996
1.8919,0.3328,1.7207,-0.5111,0.9627
-0.9602,1.1111,1.7828,-1.5769,0.0199
0.3846,0.4798,-1.1294,-0.5252,0.2751
-0.9803,0.3977,0.6066,-1.1862,0.1182
-1.9545,-0.691,0.7133,-1.2594,0.2297
1.1811,0.1922,-1.7469,-1.5944,0.8952
-0.4188,0.2006,0.5567,-1.6354,0.1718
-0.3608,-0.8668,-0.7696,1.8128,0.1626
-0.7506,0.2661,-0.5713,-0.3342,0.1925
-0.5449,-1.2112,0.9121,-1.1853,0.2718
-1.9765,1.6065,-0.305,1.2815,0.0152
-0.1564,-1.3498,-1.9407,0.2062,0.2652
0.5627,1.6392,-1.6439,0.4888,0.0257
-1.4165,-0.8668,0.0846,1.702,0.3915
-1.5648,-0.038,1.2193,1.8675,0.7421
1.7723,1.9022,-0.0691,-1.7865,0.7015
1.7047,-0.4484,1.6169,0.4814,0.9908
1.1433,-1.1117,-0.3821,1.3854,0.7996
1.3168,-1.2681,-1.1275,-0.401,0.8879
-1.5078,-1.0118,0.8995,1.5892,0.7422
-1.8356,0.2494,1.0298,-1.8475,0.0666
0.3981,0.2002,0.5082,-0.7751,0.3717
-0.3197,0.3305,-0.297,0.6354,0.1105
-1.9065,0.4756,-0.042,-1.059,0.1176
1.0543,1.1199,-0.1668,-1.2817,0.4321
-1.4862,-0.2776,-1.6331,-0.2321,0.096
0.0406,-1.8369,0.5457,-1.671,0.6668
0.0459,-1.7829,0.0157,-0.4885,0.6485
1.8035,-1.4553,1.4283,1.9845,0.9993
-1.2252,1.9269,-0.0325,1.8266,0.0159
1.6642,-1.3396,1.1535,1.7223,0.9981
1.0247,-1.3649,1.5861,-0.9,0.9069
1.2625,-1.4257,0.0089,1.6796,0.9452
0.024,-0.7237,-1.8527,-1.2716,0.6746
-1.3551,1.7456,0.7187,1.5817,0.1406
-1.5397,0.1229,0.5453,-0.5609,0.2137
1.4918,0.2207,0.3202,1.5301,0.9478
0.5191,-0.423,1.1907,-0.941,0.6839
1.962,0.3094,-0.559,1.0586,0.855
0.9744,-1.8068,1.2793,-0.9854,0.924
0.557,1.9362,0.3435,0.6548,0.1781
-1.8648,-1.4025,0.4642,-0.2711,0.4985
0.0507,1.5822,-1.4719,-1.091,0.1095
-1.9895,-0.5801,-1.5745,-0.5714,0.19
-1.103,0.3344,0.3564,-1.1833,0.0944
-1.461,1.7464,-1.0256,-1.4027,0.0387
-1.6168,0.5528,1.4851,1.1286,0.4933
-1.954,0.5798,0.2493,-0.5987,0.1162
0.5824,-0.225,1.7486,0.9341,0.9424
-1.824,0.1261,-0.376,-1.0493,0.2331
-1.7665,1.1155,-1.9506,0.2037,0.0129
-1.2019,0.4323,0.0278,0.5663,0.1076
1.2535,-1.3014,-0.7625,-0.7989,0.9564
1.1319,0.8616,-1.9746,1.3777,0.0395
0.9807,-0.1389,0.967,-0.1901,0.8097
-1.0708,-1.8447,-0.6579,0.9986,0.3427
0.7804,1.3813,0.8467,-0.936,0.215
1.1538,0.093,-0.9388,0.568,0.463
1.8606,-1.132,1.5202,-1.9391,0.9336
0.9755,1.7788,0.9846,-0.6925,0.3317
1.5207,-0.6858,-1.0433,1.6303,0.5702
0.6609,1.9161,-0.122,1.3588,0.0956
0.7905,1.4301,-0.2511,0.8985,0.1706
-1.1521,0.4905,-1.6888,1.6432,0.0036
-1.4216,-1.8924,-1.5733,1.7158,0.0413
-1.8851,-1.8334,0.7705,0.5355,0.7643
0.788,0.9471,-1.7369,0.3619,0.0709
1.2783,1.5651,-1.7362,1.4712,0.0436
1.6576,1.7773,-1.5715,-1.1771,0.7194
1.3909,1.2481,0.5367,1.3002,0.7976
0.5261,-0.8505,-1.6005,-1.6086,0.8507
-0.7234,-0.3049,-1.9163,-0.9732,0.2364
-0.8696,0.863,-0.5279,-0.7167,0.1013
1.4055,0.4731,-1.8761,-0.3483,0.5859
-0.2542,1.0921,-0.6129,0.8186,0.0403
1.449,-1.6364,1.2792,-1.3185,0.9488
-1.9948,-1.1919,1.0487,1.9115,0.9018
-0.0341,1.1871,-1.2619,-0.0217,0.0531
-0.6113,1.3273,-0.9577,1.7755,0.0083
0.7979,-0.0067,-1.5603,0.5461,0.2341
-1.6765,1.1517,0.7886,1.1477,0.1511
-0.3949,-0.4216,1.5616,-1.6553,0.1264
1.5538,-1.8993,-1.1755,-0.9472,0.9858
-0.4828,1.5359,-1.0657,-0.1564,0.0264
0.1262,1.0179,1.012,0.5852,0.3528
-1.3787,1.3724,0.6484,0.9679,0.1268
-1.3218,-0.2448,1.0937,0.3167,0.4491
1.5405,-1.0482,-1.2337,-0.794,0.9595
0.8127,1.3746,-1.3816,-1.3761,0.4066
0.0887,-1.3563,-0.6877,-1.2429,0.7485
1.9006,0.9149,-1.5928,1.8495,0.2204
1.9353,1.1796,0.9332,-0.2603,0.9203
-1.2152,0.5519,-1.5725,-1.1742,0.1309
-0.4039,1.164,0.7738,0.0019,0.1421
0.5295,-0.1469,-1.4327,0.4148,0.1514
1.632,-0.2799,0.2959,0.9964,0.96
-0.3154,-1.0857,0.8889,1.5203,0.8467
1.4098,0.7184,0.5662,-0.1844,0.7104
-0.7479,0.5131,-1.6085,-0.3217,0.0679
0.5185,-0.9998,-0.3057,-0.1792,0.592
0.4863,-0.3626,0.701,1.7208,0.8636
1.1127,-0.4452,-0.0406,1.8985,0.8479
-1.8474,0.1734,-1.3566,1.1272,0.0237
-1.5957,0.2982,0.1641,0.8692,0.1329
0.0488,0.557,1.3159,0.0868,0.3102
-1.1596,0.7374,-0.43,1.0508,0.0613
-1.5104,1.9379,-0.5781,-1.7735,0.0369
-1.9468,-0.3257,-0.3178,0.793,0.1871
-0.5915,-0.9394,-1.1023,0.9659,0.1456
-1.1243,1.2059,-0.4321,-1.1519,0.0538
-1.4828,1.1064,1.2383,0.5372,0.1515
-1.0961,1.8555,-0.5875,0.5552,0.0163
1.275,1.2647,-0.1276,-0.8226,0.4967
1.335,-0.581,1.4027,-0.9303,0.8803
-0.4954,-0.9858,-0.2956,-1.2564,0.5448
-0.8752,-1.0201,-0.7927,-0.0818,0.265
-0.286,0.5492,0.6371,-0.5503,0.2589
-1.7717,1.3116,1.6232,1.1362,0.3583
-1.4384,1.3253,0.5326,-1.9401,0.054
0.6238,-0.9999,-1.594,-1.4291,0.8647
-1.0654,1.1052,-0.6142,-1.3893,0.1079
-1.3283,1.5645,0.4335,1.1251,0.0568
0.6738,1.5757,1.1523,1.3552,0.6889
0.1232,0.9676,-0.2457,1.5307,0.1515
0.2203,-0.942,-1.0633,-1.4426,0.6946
-0.1316,-1.4223,-0.0345,-0.0073,0.6109
0.1582,1.4515,-1.9736,1.3631,0.0027
0.6612,1.3623,-0.5002,-0.3247,0.2059
1.8425,-1.6984,0.5482,0.5445,0.9956
0.7304,1.726,-0.6782,1.9269,0.0524
0.0425,-0.0613,1.5902,-1.8644,0.1176
-0.6456,1.4468,-0.5354,-0.1019,0.0285
0.1022,1.0823,-1.1571,-0.2592,0.0687
1.3069,-0.8285,1.3109,-0.3851,0.9499
0.015,-0.9132,0.0257,1.9,0.4846
-0.6764,-0.7316,-0.8031,0.3458,0.1362
0.5393,1.1369,-1.8398,0.8907,0.0283
-1.8012,-0.7984,-1.9752,-1.2402,0.3787
1.6857,0.4347,0.6321,1.1561,0.9624
0.4668,0.5073,0.7856,0.3852,0.4869
0.7239,-1.15,0.668,-0.1685,0.86
-1.2748,-1.8521,1.0981,1.6563,0.9073
0.6229,-0.5245,1.2904,1.1462,0.9266
-0.7918,-0.3129,-0.7261,-0.2773,0.167
0.5671,1.7354,-1.7815,0.27,0.0378
1.2413,0.3013,1.6745,-0.2141,0.8722
-1.9435,-0.4514,0.3679,1.7509,0.4712
-0.3503,-1.5918,0.578,-1.1509,0.5643
-1.3929,-1.9379,-1.9809,0.735,0.1372
-1.6474,1.4782,-1.4841,-1.9289,0.1873
0.8774,-1.0309,0.9342,-1.2504,0.8483
0.8542,1.422,0.9189,-1.6628,0.2058
0.5145,0.8369,-0.1577,1.7294,0.2212
0.8688,-1.9544,-1.9411,0.6028,0.7004
1.2694,-1.6813,-0.7557,0.9178,0.9016
-0.0547,-1.7609,-0.5297,0.2999,0.6958
-0.2451,0.7075,-1.4204,1.1894,0.0126
0.5188,-0.3281,-0.4571,1.145,0.4482
1.7797,1.1385,0.2673,-0.8304,0.8909
0.8131,1.3096,-0.6718,0.4233,0.2114
1.9098,1.3252,0.4045,-0.7656,0.7667
-0.4933,0.7393,0.4071,1.5845,0.2678
1.2299,-0.8668,-1.9933,-0.9478,0.8776
1.2639,1.5497,-1.8308,1.3329,0.0365
1.247,1.4688,0.2876,-0.9046,0.528
0.7386,1.655,-0.6126,-1.6597,0.209
0.2147,1.1896,-1.1983,1.0007,0.034
0.4276,0.7106,-0.1387,-1.1737,0.2754
-0.9811,1.0045,1.1667,-0.1611,0.1759
1.0887,-1.0685,0.3184,1.5877,0.9485
1.5404,0.0874,-0.0937,0.3573,0.8675
-1.2772,0.8043,-0.5487,0.2577,0.0557
-0.39,0.0689,-1.404,-1.8216,0.5073
-1.5755,0.531,1.1494,-1.3754,0.0634
0.3888,-0.6203,0.0778,-1.9177,0.7365
1.4643,-0.0547,0.2687,-0.9536,0.8821
1.1168,-0.2962,1.786,1.069,0.9877
-0.984,-1.8485,-1.196,-1.2771,0.5139
-1.6654,-1.796,0.2295,1.4827,0.4886
1.6397,-1.7433,0.3923,-0.4104,0.9865
-1.5203,1.8372,-0.9712,0.2579,0.008
0.6789,-0.4275,-0.2066,-1.3611,0.5555
1.8631,1.9669,-1.1131,-1.8455,0.8472
1.611,1.6183,1.3489,-1.8118,0.444
1.1455,0.8384,0.5867,1.9417,0.8474
1.0198,1.7575,0.7076,-0.8048,0.3036
0.3659,1.0316,-1.5783,-0.7043,0.1736
-0.0747,-1.3257,-1.0462,-1.4274,0.7368
0.7106,-1.9495,0.8689,-1.2196,0.9257
-1.1178,1.7359,1.467,1.5548,0.402
-1.4409,-0.211,-1.6121,1.7151,0.0096
-0.1907,-0.6409,1.2922,-0.0898,0.5359
0.5127,-1.4289,-1.1134,-1.7731,0.8887
-1.4212,1.4829,-0.9344,-0.3529,0.0202
-1.3773,-0.9156,1.3583,-0.662,0.4005
-0.7277,1.6127,-1.5433,1.9145,0.0019
-1.7726,1.5802,0.6731,-1.1554,0.0265
-0.9688,-1.1935,-0.5429,1.9641,0.1683
1.9923,1.7003,-1.6097,-0.8423,0.8182
0.9059,-0.8259,1.9145,-1.9359,0.4413
1.2281,-0.6364,-1.4394,-1.9923,0.9661
-1.2567,-0.259,1.6479,-1.1269,0.1176
0.2854,-1.4477,-1.2795,1.0818,0.2651
-1.6829,-1.6503,0.4342,-0.0181,0.5252
-0.9044,-1.1759,0.4497,0.831,0.5881
-1.1908,-1.7372,0.9309,-0.3675,0.5367
0.8866,-1.7785,1.2426,-0.6591,0.945
-0.0279,-1.9382,1.6409,-0.0935,0.8471
1.4881,-0.935,-1.2558,1.3265,0.6211
-0.5153,0.3796,-1.9814,0.0793,0.0434
-0.2169,0.0625,-1.5169,0.8584,0.0472
-0.7161,0.8447,-0.4744,1.0053,0.0302
-1.7552,1.4912,1.8162,-0.0208,0.0971
0.1493,-1.9172,1.8697,-1.1052,0.7182
-1.2704,-1.5893,-0.9982,1.2686,0.1557
0.7959,-1.2197,-1.9293,0.3976,0.4219
0.3059,0.0916,0.8106,-1.5885,0.3366
-1.8193,-1.5078,-0.0256,0.003,0.387
-0.8815,-1.5119,-0.3774,-1.4522,0.4311
-1.4111,0.2914,0.9863,-1.3427,0.0673
1.3041,1.7503,-0.445,-0.3181,0.4157
-0.4175,1.7652,1.1076,-0.6458,0.0452
-1.0385,-0.6597,-0.2577,1.9249,0.2063
1.2602,1.3905,-1.7858,0.0695,0.1287
1.8314,1.7373,-1.0029,-0.3115,0.5963
0.1232,-1.7229,-0.2678,0.0191,0.6702
-1.9167,-1.4424,1.8788,1.1063,0.9576
1.2371,1.5375,1.5386,-1.8625,0.169
0.5663,-0.9369,0.7138,-0.9063,0.5936
0.485,-0.9977,0.0812,-0.2652,0.6823
1.8035,-0.8499,-0.7784,0.5901,0.9452
1.8243,0.0551,-0.9264,-0.1343,0.9127
0.1353,-1.4064,-1.5043,-1.4745,0.8067
-0.8468,-1.0264,-1.6486,0.1853,0.1604
1.359,0.4398,0.2807,0.6014,0.8292
-0.1565,0.1921,0.4512,-0.1241,0.372
-0.758,-1.031,-1.1137,0.0498,0.1796
-1.9525,-0.5894,1.4475,-1.0458,0.2681
0.2266,-0.0344,-0.8607,1.95,0.0731
-1.3657,-1.7328,1.4851,-0.2401,0.7697
-1.7519,-0.4485,-0.2404,0.9417,0.1919
1.8372,0.9545,-1.3819,-0.6519,0.8412
-0.5902,0.7014,0.4652,1.4,0.251
0.9551,0.9731,1.0388,-0.099,0.5276
1.1398,0.8342,1.6588,-1.4909,0.3663
1.0627,0.3433,-0.0085,1.851,0.6337
0.2878,-0.3284,1.1347,1.491,0.8658
-0.1909,-0.1684,0.8922,-0.8283,0.2758
-0.4373,0.2214,-0.462,-0.712,0.195
-0.0018,-0.2239,-1.2632,-0.7839,0.2416
-1.42,0.3017,0.3263,-1.6483,0.1185
1.3736,1.3526,1.8351,-1.1828,0.4236
-0.2942,1.6423,-1.9572,-1.8102,0.1729
1.6812,1.0939,0.154,1.9933,0.8163
0.0698,0.0691,0.7409,-0.4419,0.3236
-0.5956,1.7916,0.7059,0.101,0.087
-1.6041,-0.5023,-0.3964,0.2454,0.1183
1.8579,-0.0531,-0.2393,0.4984,0.9145
1.9845,-0.6269,0.1206,1.2635,0.9836
1.9137,1.3041,0.0504,-1.558,0.8608
1.578,0.7595,1.2822,1.961,0.9883
-1.3744,-0.8403,0.0464,0.0195,0.2711
-1.2476,-1.2704,0.5204,0.4125,0.4136
0.546,-1.8307,-0.3543,1.1505,0.866
-0.773,0.7628,-1.9843,-0.7822,0.0982
0.6724,-1.2134,-0.0086,0.213,0.7532
-0.9359,0.5872,0.126,1.9884,0.109
-1.514,-1.3729,1.038,-1.5734,0.2644
-1.5996,-1.3179,0.09,1.2926,0.3622
-1.7515,-1.95,1.0823,-0.7087,0.5309
0.8618,-0.5846,-1.3223,-0.9336,0.8343
0.329,-0.6044,-0.2006,-0.4574,0.6206
-1.7813,1.5622,0.3306,1.8385,0.0554
-1.0027,-1.8241,1.7233,1.4189,0.9711
-0.7408,1.5955,1.2636,-0.7853,0.0298
-0.0178,1.7988,-1.0283,-0.4408,0.0336
0.8739,-1.1144,-0.7634,1.5012,0.4442
-1.0264,-1.3061,-0.5664,-1.2538,0.4777
1.8862,-0.8372,0.2461,-1.5405,0.9662
-0.3872,-1.7382,-1.5068,1.3033,0.1049
-0.595,-1.0203,-1.2352,-0.8657,0.4119
0.6571,-0.6343,-1.3764,0.8235,0.2673
-1.6295,-0.9213,1.34,-1.4888,0.1329
1.2198,-1.3631,-0.5883,0.8899,0.8762
-0.4924,1.8336,-1.1678,1.8038,0.003
-0.1892,-1.4762,0.8259,-0.957,0.5996
1.5985,0.3503,-0.528,-1.015,0.8474
1.4896,-1.5088,0.0521,0.1704,0.9651
-0.9184,1.087,-0.4607,0.6301,0.0322
-0.4403,-1.6559,-1.2918,1.404,0.1152
-0.7159,0.651,-1.5642,0.248,0.0241
-0.8122,-1.7364,-0.7549,-1.0943,0.6418
-1.4955,0.8668,-0.8705,-0.3865,0.0728
1.531,1.4451,-1.4713,-0.8939,0.5789
-1.8817,0.7185,0.6544,-0.5943,0.0741
0.797,-1.0063,1.3869,-0.5915,0.8724
0.5153,-1.2734,-1.5391,1.6507,0.1244
-1.8382,-1.84,-1.3519,-1.2076,0.5381
-0.7877,-0.477,-1.8431,-0.7563,0.2147
1.3579,0.2807,0.8665,-0.9812,0.7489
-0.2603,0.7373,-0.6038,-1.9961,0.2569
-0.8547,-1.8282,1.4166,0.4295,0.8021
-1.8106,-1.0222,-1.5553,1.1658,0.0456
0.9981,-1.6555,0.7787,-0.4255,0.9633
0.9902,1.315,-0.8753,-1.6403,0.562
1.7208,0.7665,0.9544,1.32,0.9635
0.5124,-0.1889,-1.7828,0.793,0.0731
1.7125,-1.4894,1.0477,-1.8252,0.9627
0.811,1.2229,-0.9552,0.1856,0.2231
0.1757,-1.0012,-1.7625,-0.5687,0.4811
-0.3534,-1.1944,-0.7578,-1.4538,0.5675
-1.0485,-1.0332,0.0615,-0.2199,0.2866
1.7434,-0.5942,-0.8025,1.5387,0.8525
-0.6657,1.2616,0.193,1.0421,0.1056
-1.3232,0.6661,0.3947,-0.1553,0.1112
-1.5421,-0.8426,-0.5581,-1.1743,0.2329
-1.7587,-0.8765,-1.2115,0.8065,0.0729
-0.7021,-0.1254,-0.5481,-1.3276,0.2531
-1.7127,-1.9567,1.9685,1.0018,0.9727
1.9209,0.2546,-1.5648,-0.0445,0.8684
-0.263,-1.2408,0.1723,-1.9668,0.5786
0.511,1.741,0.6104,-0.9944,0.1135
-1.016,-1.4454,-1.8893,1.0978,0.0461
-1.2571,0.5524,1.3829,1.7068,0.6107
-1.3262,1.1385,1.3216,0.9693,0.2788
1.3013,-0.7194,-0.5259,0.2045,0.8636
-0.5229,1.3256,-1.0425,-1.835,0.103
1.2789,0.8223,1.6208,1.7797,0.9795
